Dòng máy,Giá,Phiên bản,Tình trạng,Tinh_trang_tong_hop,Xuất xứ,Dung lượng (GB),Tình trạng pin,Pin_bucket,Chính sách bảo hành
iPhone 12 Pro Max,9490000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,Mỹ (LL/A),256.0,100%,100%,4-6 tháng
iPhone 12 Pro Max,8800000.0,,Đã sửa chữa / thay linh kiện,Đã sửa chữa,Trung Quốc,256.0,95%,95-96%,
iPhone 12 Pro Max,5600000.0,,Đã sử dụng (chưa sửa chữa),Màn thay,,128.0,87%,85-89%,
iPhone 12 Pro Max,4900000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,90%,90-94%,
iPhone 12 Pro Max,6390000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,,128.0,91%,90-94%,
iPhone 12 Pro Max,5450000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,76%,Dưới 80%,1 tháng
iPhone 12 Pro Max,9900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,,512.0,100%,100%,3 tháng
iPhone 12 Pro Max,5600000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,,256.0,100%,100%,4-6 tháng
iPhone 12 Pro Max,7000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,,256.0,94%,90-94%,
iPhone 12 Pro Max,5600000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Màn thay,,256.0,93%,90-94%,
iPhone 12 Pro Max,7000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,91%,90-94%,4-6 tháng
iPhone 12 Pro Max,6300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,91%,90-94%,
iPhone 12 Pro Max,7500000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,95%,90-94%,4-6 tháng
iPhone 12 Pro Max,10790000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Mỹ (LL/A),256.0,95%,95-96%,4-6 tháng
iPhone 12 Pro Max,6000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,,128.0,100%,100%,
iPhone 12 Pro Max,5200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,Mỹ (LL/A),128.0,90%,90-94%,
iPhone 12 Pro Max,4290000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,88%,85-89%,1 tháng
iPhone 12 Pro Max,8500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,92%,90-94%,
iPhone 12 Pro Max,9300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,512.0,97%,95-96%,
iPhone 12 Pro Max,2600000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,87%,85-89%,
iPhone 12 Pro Max,7790000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,95%,95-96%,
iPhone 12 Pro Max,5800000.0,Quốc tế (Không khoá mạng),Đã sửa chữa / thay linh kiện,Màn thay,Mỹ (LL/A),128.0,89%,85-89%,
iPhone 12 Pro Max,8200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),256.0,95%,90-94%,3 tháng
iPhone 12 Pro Max,7500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,91%,90-94%,
iPhone 12 Pro Max,5990000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,1024.0,90%,90-94%,Còn bảo hành
iPhone 12 Pro Max,5300000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Màn thay,,128.0,89%,85-89%,
iPhone 12 Pro Max,5200000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,90%,90-94%,
iPhone 12 Pro Max,9990000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),128.0,94%,90-94%,Còn bảo hành
iPhone 12 Pro Max,7800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),256.0,95%,95-96%,
iPhone 12 Pro Max,8300000.0,,Đã sửa chữa / thay linh kiện,Đã sửa chữa,Mỹ (LL/A),128.0,92%,90-94%,
iPhone 12 Pro Max,5800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),256.0,93%,90-94%,
iPhone 12 Pro Max,5800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,93%,90-94%,
iPhone 12 Pro Max,7000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,91%,90-94%,Hết bảo hành
iPhone 12 Pro Max,7800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,92%,90-94%,
iPhone 12 Pro Max,6800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,,256.0,95%,90-94%,
iPhone 12 Pro Max,7000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,Mỹ (LL/A),256.0,94%,90-94%,
iPhone 12 Pro Max,7800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,Mỹ (LL/A),128.0,92%,90-94%,2 tháng
iPhone 12 Pro Max,7000000.0,,Đã sử dụng (chưa sửa chữa),Màn thay,,128.0,91%,90-94%,
iPhone 12 Pro Max,7500000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,95%,90-94%,
iPhone 12 Pro Max,3500000.0,,Đã sửa chữa / thay linh kiện,Đã sửa chữa,Mỹ (LL/A),128.0,90%,90-94%,>12 tháng
iPhone 12 Pro Max,3000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,85%,80-84%,>12 tháng
iPhone 12 Pro Max,7900000.0,Quốc tế (Không khoá mạng),Mới,Zin không trầy xước,Chính hãng VN (VNA),128.0,94%,90-94%,Còn bảo hành
iPhone 12 Pro Max,5500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,Nhật Bản,512.0,94%,90-94%,
iPhone 12 Pro Max,6300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,,128.0,91%,90-94%,
iPhone 12 Pro Max,8900000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,96%,95-96%,
iPhone 12 Pro Max,12800000.0,,Đã sử dụng (chưa sửa chữa),Màn thay,Mỹ (LL/A),512.0,100%,100%,
iPhone 12 Pro Max,5900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,,128.0,95%,95-96%,Hết bảo hành
iPhone 12 Pro Max,8600000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,91%,90-94%,Hết bảo hành
iPhone 12 Pro Max,7300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,91%,90-94%,
iPhone 12 Pro Max,11200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),512.0,100%,100%,2 tháng
iPhone 12 Pro Max,5444000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,89%,85-89%,
iPhone 12 Pro Max,5700000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,256.0,93%,90-94%,3 tháng
iPhone 12 Pro Max,5400000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Trung Quốc,256.0,93%,90-94%,
iPhone 12 Pro Max,9700000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,95%,90-94%,7-12 tháng
iPhone 12 Pro Max,5600000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,89%,85-89%,
iPhone 12 Pro Max,6200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,512.0,94%,90-94%,Còn bảo hành
iPhone 12 Pro Max,2000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,88%,85-89%,>12 tháng
iPhone 12 Pro Max,9000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Đài Loan,128.0,92%,90-94%,Hết bảo hành
iPhone 12 Pro Max,6400000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,91%,90-94%,Còn bảo hành
iPhone 12 Pro Max,9000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,
iPhone 12 Pro Max,9400000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,100%,100%,
iPhone 12 Pro Max,9800000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,95%,90-94%,
iPhone 12 Pro Max,7500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,,128.0,91%,90-94%,
iPhone 12 Pro Max,7500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,91%,90-94%,
iPhone 12 Pro Max,7900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,92%,90-94%,1 tháng
iPhone 12 Pro Max,5200000.0,Quốc tế (Không khoá mạng),Đã sửa chữa / thay linh kiện,Đã sửa chữa,,128.0,90%,90-94%,Hết bảo hành
iPhone 12 Pro Max,4200000.0,Quốc tế (Không khoá mạng),Đã sửa chữa / thay linh kiện,Đã sửa chữa,Mỹ (LL/A),128.0,86%,85-89%,
iPhone 12 Pro Max,8800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Mỹ (LL/A),128.0,93%,90-94%,Hết bảo hành
iPhone 12 Pro Max,8699000.0,,Đã sử dụng (chưa sửa chữa),Pin thay,Việt Nam,128.0,83%,80-84%,
iPhone 12 Pro Max,7190000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,,256.0,95%,90-94%,
iPhone 12 Pro Max,8200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,95%,90-94%,
iPhone 12 Pro Max,4960000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),"Màn thay, Pin thay",Mỹ (LL/A),128.0,100%,100%,3 tháng
iPhone 12 Pro Max,8000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,
iPhone 12 Pro Max,9500000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,94%,90-94%,
iPhone 12 Pro Max,9800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,97%,97-99%,7-12 tháng
iPhone 12 Pro Max,8000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,75%,Dưới 80%,Hết bảo hành
iPhone 12 Pro Max,7777000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),256.0,100%,100%,7-12 tháng
iPhone 12 Pro Max,7345000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,91%,90-94%,7-12 tháng
iPhone 13,7790000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,91%,90-94%,
iPhone 13,6100000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,94%,90-94%,Hết bảo hành
iPhone 13,2980000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Mỹ (LL/A),128.0,85%,85-89%,Hết bảo hành
iPhone 13,8299000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),512.0,94%,90-94%,
iPhone 13,5699000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,89%,85-89%,
iPhone 13,7500000.0,,Đã sử dụng (chưa sửa chữa),Pin thay,Việt Nam,128.0,83%,80-84%,
iPhone 13,7000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,91%,90-94%,3 tháng
iPhone 13,7990000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,91%,90-94%,7-12 tháng
iPhone 13,8200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,85%,85-89%,
iPhone 13,7900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,91%,90-94%,2 tháng
iPhone 13,7300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),256.0,94%,90-94%,Còn bảo hành
iPhone 13,5650000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,Mỹ (LL/A),256.0,93%,90-94%,4-6 tháng
iPhone 13,7999000.0,,Đã sử dụng (chưa sửa chữa),Pin thay,Mỹ (LL/A),128.0,91%,90-94%,4-6 tháng
iPhone 13,7900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,89%,85-89%,7-12 tháng
iPhone 13,8300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Việt Nam,256.0,93%,90-94%,3 tháng
iPhone 13,9999000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),256.0,92%,90-94%,Hết bảo hành
iPhone 13,8000000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,90%,90-94%,
iPhone 13,4000000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,86%,85-89%,
iPhone 13,6500000.0,Quốc tế (Không khoá mạng),Đã sửa chữa / thay linh kiện,Pin thay,Trung Quốc,128.0,89%,85-89%,Hết bảo hành
iPhone 13,8500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,
iPhone 13,6200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Chính hãng VN (VNA),128.0,95%,90-94%,1 tháng
iPhone 13,5800000.0,,Đã sử dụng (chưa sửa chữa),Màn thay,Việt Nam,128.0,90%,85-89%,
iPhone 13,6900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,95%,95-96%,4-6 tháng
iPhone 13,6000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,
iPhone 13,3990000.0,,Đã sửa chữa / thay linh kiện,Màn thay,,128.0,87%,85-89%,Còn bảo hành
iPhone 13,5999999.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),128.0,99%,97-99%,
iPhone 13,6200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,92%,90-94%,Hết bảo hành
iPhone 13,6200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,92%,90-94%,1 tháng
iPhone 13,6200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,
iPhone 13,5950000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,92%,90-94%,Hết bảo hành
iPhone 13,7400000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,81%,80-84%,
iPhone 13,8590000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Mỹ (LL/A),256.0,95%,95-96%,4-6 tháng
iPhone 13,6300000.0,,Đã sửa chữa / thay linh kiện,Pin thay,Việt Nam,128.0,88%,85-89%,Hết bảo hành
iPhone 13,6000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Trung Quốc,128.0,100%,100%,Hết bảo hành
iPhone 13,5500000.0,,Đã sửa chữa / thay linh kiện,Đã sửa chữa,,128.0,90%,90-94%,
iPhone 13,7200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,100%,100%,1 tháng
iPhone 13,4000000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,83%,80-84%,Hết bảo hành
iPhone 13,5750000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,89%,85-89%,
iPhone 13,7990000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,Việt Nam,128.0,91%,90-94%,
iPhone 13,8500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,93%,90-94%,Hết bảo hành
iPhone 13,7250000.0,,Mới,Zin không trầy xước,Việt Nam,128.0,100%,100%,Còn bảo hành
iPhone 13,8300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,100%,100%,Còn bảo hành
iPhone 13,4850000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,80%,80-84%,
iPhone 13,4900000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,90%,85-89%,
iPhone 13,7990000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Mỹ (LL/A),128.0,91%,90-94%,>12 tháng
iPhone 13,4700000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,92%,90-94%,
iPhone 13,5690000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,85%,85-89%,7-12 tháng
iPhone 13,6200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),128.0,81%,80-84%,3 tháng
iPhone 13,6390000.0,Khóa mạng (Lock),Mới,Zin không trầy xước,Mỹ (LL/A),128.0,100%,100%,
iPhone 13,6500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,89%,85-89%,Hết bảo hành
iPhone 13,6000000.0,,Đã sử dụng (chưa sửa chữa),Màn thay,Việt Nam,128.0,94%,90-94%,Hết bảo hành
iPhone 13,6700000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,90%,90-94%,
iPhone 13,7500000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,78%,Dưới 80%,Hết bảo hành
iPhone 13,8000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,90%,90-94%,Hết bảo hành
iPhone 13,6500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,75%,Dưới 80%,
iPhone 13,8500000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,>12 tháng
iPhone 13,8800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,100%,100%,3 tháng
iPhone 13,8500000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,93%,90-94%,>12 tháng
iPhone 13,7100000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Trung Quốc,64.0,92%,90-94%,Hết bảo hành
iPhone 13,5999999.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,94%,90-94%,
iPhone 13,6800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,>12 tháng
iPhone 13,7800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Nhật Bản,128.0,91%,90-94%,4-6 tháng
iPhone 13,3500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,Không rõ,128.0,88%,85-89%,1 tháng
iPhone 13,5950000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),128.0,100%,100%,3 tháng
iPhone 13 Mini,7300000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,4-6 tháng
iPhone 13 Mini,6700000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Trung Quốc,128.0,91%,90-94%,4-6 tháng
iPhone 13 Mini,6400000.0,,Đã sử dụng (chưa sửa chữa),Pin thay,Chính hãng VN (VNA),256.0,100%,100%,4-6 tháng
iPhone 13 Mini,7500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),128.0,100%,100%,4-6 tháng
iPhone 13 Mini,6250000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,92%,90-94%,
iPhone 13 Mini,5700000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),128.0,79%,Dưới 80%,Hết bảo hành
iPhone 13 Mini,6900000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,
iPhone 13 Mini,7200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Việt Nam,128.0,100%,100%,Hết bảo hành
iPhone 13 Mini,4850000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,,128.0,90%,90-94%,
iPhone 13 Mini,4990000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,100%,100%,
iPhone 13 Mini,6400000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,92%,90-94%,
iPhone 13 Mini,6699000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Chính hãng VN (VNA),256.0,94%,90-94%,7-12 tháng
iPhone 13 Mini,6200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,87%,85-89%,2 tháng
iPhone 13 Pro,10000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,256.0,81%,80-84%,Hết bảo hành
iPhone 13 Pro,7900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Nhật Bản,128.0,100%,100%,3 tháng
iPhone 13 Pro,6900000.0,Quốc tế (Không khoá mạng),Đã sửa chữa / thay linh kiện,Đã sửa chữa,Việt Nam,128.0,89%,85-89%,
iPhone 13 Pro,7500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,73%,Dưới 80%,Hết bảo hành
iPhone 13 Pro,7900000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),256.0,92%,90-94%,
iPhone 13 Pro,7500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,88%,85-89%,4-6 tháng
iPhone 13 Pro,6300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),128.0,90%,90-94%,
iPhone 13 Pro,8500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Việt Nam,256.0,88%,85-89%,
iPhone 13 Pro,8300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,88%,85-89%,Còn bảo hành
iPhone 13 Pro,8300000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,88%,85-89%,Còn bảo hành
iPhone 13 Pro,9350000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,256.0,90%,90-94%,>12 tháng
iPhone 13 Pro,6500000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,86%,85-89%,
iPhone 13 Pro,6200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Màn thay,Việt Nam,128.0,86%,85-89%,3 tháng
iPhone 13 Pro,7900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,128.0,90%,85-89%,
iPhone 13 Pro,6200000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,91%,90-94%,
iPhone 13 Pro,7999999.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,512.0,91%,90-94%,Còn bảo hành
iPhone 13 Pro,8000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,90%,90-94%,7-12 tháng
iPhone 13 Pro,8500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Pin thay,Việt Nam,256.0,88%,85-89%,3 tháng
iPhone 13 Pro,7895000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,128.0,90%,85-89%,7-12 tháng
iPhone 13 Pro Max,7800000.0,,Đã sử dụng (chưa sửa chữa),Pin thay,,128.0,100%,100%,
iPhone 13 Pro Max,8500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,256.0,77%,Dưới 80%,
